                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.57894,                0.32224,                0.80471,                0.95417,                0.91139,                0.96173,                0.81046,                0.51552,                0.28925,                0.79785,              0.0008615,              0.0008615,              0.0008615
                     49,                0.58331,                0.32349,                0.80581,                0.95698,                0.90921,                0.96253,                0.81535,                0.50706,                0.28746,                0.79736,             0.00083675,             0.00083675,             0.00083675
                     50,                 0.5721,                0.31809,                0.80081,                0.95646,                0.90923,                0.96272,                0.81644,                0.49509,                0.28821,                0.79527,               0.000812,               0.000812,               0.000812
                     51,                0.57327,                  0.318,                0.80579,                0.95835,                0.90452,                 0.9613,                0.81379,                0.50235,                0.28421,                0.79613,             0.00078725,             0.00078725,             0.00078725
                     52,                0.57288,                0.31809,                0.80335,                0.95351,                0.91229,                0.96171,                0.80794,                0.51212,                0.29279,                0.79666,              0.0007625,              0.0007625,              0.0007625
                     53,                0.58832,                0.32156,                0.80488,                0.94973,                0.91173,                0.96175,                0.80616,                0.51647,                0.29227,                 0.7963,             0.00073775,             0.00073775,             0.00073775
                     54,                0.58124,                0.31971,                0.80314,                0.95225,                0.91092,                0.96198,                 0.8153,                0.49484,                0.28187,                0.79536,               0.000713,               0.000713,               0.000713
                     55,                0.56772,                 0.3133,                0.80236,                0.94566,                0.91808,                0.96396,                0.81773,                0.49353,                 0.2783,                0.79602,             0.00068825,             0.00068825,             0.00068825
                     56,                0.56635,                0.31111,                0.80255,                 0.9507,                0.91405,                0.96479,                0.81967,                0.49187,                0.27821,                0.79511,              0.0006635,              0.0006635,              0.0006635
                     57,                 0.5686,                0.31185,                 0.8048,                0.95181,                0.91585,                  0.965,                0.81914,                0.48944,                0.27592,                0.79487,             0.00063875,             0.00063875,             0.00063875
                     58,                0.56197,                0.30883,                0.80399,                0.95635,                0.90933,                0.96358,                0.81694,                0.48989,                0.27855,                0.79563,               0.000614,               0.000614,               0.000614
                     59,                0.55888,                0.31136,                0.80292,                0.95537,                0.91293,                0.96408,                0.81505,                0.49663,                0.27984,                0.79625,             0.00058925,             0.00058925,             0.00058925
                     60,                0.57089,                0.31459,                0.80282,                0.95422,                0.91644,                0.96417,                0.81483,                0.49982,                0.28152,                0.79535,              0.0005645,              0.0005645,              0.0005645
                     61,                0.57049,                0.31095,                0.80282,                0.95298,                0.91533,                0.96195,                0.81398,                0.49445,                 0.2806,                 0.7939,             0.00053975,             0.00053975,             0.00053975
                     62,                0.55717,                0.30508,                0.80422,                0.95851,                 0.9095,                0.96247,                0.81794,                0.48949,                0.27466,                0.79447,               0.000515,               0.000515,               0.000515
                     63,                0.55812,                0.30682,                0.80128,                0.95375,                 0.9119,                0.96239,                0.81634,                0.49196,                0.27626,                0.79407,             0.00049025,             0.00049025,             0.00049025
                     64,                0.55597,                0.30666,                 0.8018,                0.95564,                0.91373,                0.96389,                0.81716,                0.49342,                0.27846,                0.79368,              0.0004655,              0.0004655,              0.0004655
